price;product;quantitytoorder2p;region;skucode;skuname;url;title;ahprice;portiegrote;ahsku
0.29;ontbijt-box;1;NL;SPI-11-24331-4;Kokosrasp (40g);https://www.ah.nl/producten/product/wi438897/take-one-kokosrasp;Take One Kokosrasp;1,49;150 Gram;69314
0.29;ontbijt-box;1;NL;SPI-11-24331-4;Kokosrasp (40g);https://www.ah.nl/producten/product/wi404058/puur-natuur-kokosrasp;Puur Natuur Kokosrasp;2,99;250 Gram;851463
0.50;ontbijt-box;1;NL;SPI-11-24387-4;Muesli (100g);https://www.ah.nl/producten/product/wi139748/quaker-cruesli-4-noten;Quaker Cruesli 4 noten;2,99;500 Gram;610911
0.50;ontbijt-box;1;NL;SPI-11-24387-4;Muesli (100g);https://www.ah.nl/producten/product/wi123393/quaker-cruesli-luchtig-naturel;Quaker Cruesli luchtig naturel;2,75;375 Gram;523702
0.50;ontbijt-box;1;NL;SPI-11-24387-4;Muesli (100g);https://www.ah.nl/producten/product/wi140655/quaker-cruesli-chocolade;Quaker Cruesli chocolade;2,99;500 Gram;610908
0.93;ontbijt-box;1;NL;SPI-11-24431-4;Pecannoten (60g);https://www.ah.nl/producten/product/wi397901/ah-ongebrande-pecannoten;AH Ongebrande pecannoten;3,90;200 Gram;848387
0.93;ontbijt-box;1;NL;SPI-11-24431-4;Pecannoten (60g);https://www.ah.nl/producten/product/wi187172/ah-pecannoten-gezouten;AH Pecannoten gezouten;3,24;115 Gram;788091
0.93;ontbijt-box;1;NL;SPI-11-24431-4;Pecannoten (60g);https://www.ah.nl/producten/product/wi197740/ah-pecannoten-ongezouten;AH Pecannoten ongezouten;3,14;115 Gram;788229
0.29;ontbijt-box;1;NL;SPI-11-24456-4;Pompoenpitten (40g);https://www.ah.nl/producten/product/wi456508/bolletje-vezelrijke-zadencrackers-pompoenpitten;Bolletje Vezelrijke zadencrackers pompoenpitten;2,19;265 Gram;615445
0.29;ontbijt-box;1;NL;SPI-11-24456-4;Pompoenpitten (40g);https://www.ah.nl/producten/product/wi161495/ah-pompoenpitten;AH Pompoenpitten;1,95;100 Gram;629246
